n=10 count<=32 need D+ell>=88; skeleton 14 = [[0, 1, 2, 3, 4], [0, 1, 5, 6, 7], [2, 3, 5, 8, 9]] |Aut|=32; q=0, orbit O=[0, 1, 2, 3]
  derived structures at q with 1 triples: 6 classes [0.0s]
  derived structures at q with 2 triples: 18 classes [0.0s]
  derived structures at q with 3 triples: 34 classes [0.0s]
  derived structures at q with 4 triples: 27 classes [0.0s]
  derived structures at q with 5 triples: 13 classes [0.0s]
  derived structures at q with 6 triples: 2 classes [0.1s]
  derived structures at q with 7 triples: 0 classes [0.1s]
d=0 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]

0 isomorphism classes (skeleton 14) with some completion [1.4s]
